concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,category
586715,1.2 ML omalizumab 125 MG/ML Injection Box of 1,Drug,RxNorm Extension,Quant Clinical Box,S,OMOP3135883,2018-08-02,2099-12-31,NA,injection
587021,mepolizumab 100 MG Injection Box of 3,Drug,RxNorm Extension,Clinical Drug Box,S,OMOP3137977,2018-08-02,2099-12-31,NA,injection
587078,omalizumab 125 MG/ML Injection Box of 4,Drug,RxNorm Extension,Clinical Drug Box,S,OMOP3138148,2018-08-02,2099-12-31,NA,injection
587079,1.2 ML omalizumab 125 MG/ML Injection Box of 4,Drug,RxNorm Extension,Quant Clinical Box,S,OMOP3136305,2018-08-02,2099-12-31,NA,injection
587375,1 ML omalizumab 150 MG/ML Injection Box of 1,Drug,RxNorm Extension,Quant Clinical Box,S,OMOP3136228,2018-08-02,2099-12-31,NA,injection
588057,omalizumab 150 MG/ML Injection Box of 1,Drug,RxNorm Extension,Clinical Drug Box,S,OMOP3136504,2018-08-02,2099-12-31,NA,injection
588296,omalizumab 125 MG/ML Injection Box of 1,Drug,RxNorm Extension,Clinical Drug Box,S,OMOP3137811,2018-08-02,2099-12-31,NA,injection
588702,omalizumab 125 MG/ML Injection Box of 10,Drug,RxNorm Extension,Clinical Drug Box,S,OMOP3138818,2018-08-02,2099-12-31,NA,injection
588729,omalizumab 125 MG/ML Injection,Drug,RxNorm Extension,Clinical Drug,S,OMOP3138204,2018-08-02,2099-12-31,NA,injection
588815,fluticasone 0.2 MG/ACTUAT / vilanterol 0.0397 MG/ACTUAT Dry Powder Inhaler [Relvar],Drug,RxNorm Extension,Branded Drug,S,OMOP3137502,2018-08-02,2099-12-31,NA,combo
589221,1.2 ML omalizumab 125 MG/ML Injection Box of 10,Drug,RxNorm Extension,Quant Clinical Box,S,OMOP3135252,2018-08-02,2099-12-31,NA,injection
589320,Albuterol 0.095 MG/ACTUAT Metered Dose Inhaler,Drug,RxNorm Extension,Clinical Drug,S,OMOP3136537,2018-08-02,2099-12-31,NA,SABA
589342,fluticasone 0.2 MG/ACTUAT / vilanterol 0.0397 MG/ACTUAT Dry Powder Inhaler,Drug,RxNorm Extension,Clinical Drug,S,OMOP3138721,2018-08-02,2099-12-31,NA,combo
589403,0.5 ML omalizumab 150 MG/ML Injection Box of 1,Drug,RxNorm Extension,Quant Clinical Box,S,OMOP3137116,2018-08-02,2099-12-31,NA,injection
589988,5 ML Albuterol 1 MG/ML Injectable Solution [Ventolin] by GSK,Drug,RxNorm Extension,Marketed Product,S,OMOP3137292,2018-08-02,2099-12-31,NA,SABA
590305,1.2 ML omalizumab 125 MG/ML Injection,Drug,RxNorm Extension,Quant Clinical Drug,S,OMOP3136068,2018-08-02,2099-12-31,NA,injection
590456,Albuterol 0.095 MG/ACTUAT Metered Dose Inhaler [Ventolin],Drug,RxNorm Extension,Branded Drug,S,OMOP3138639,2018-08-02,2099-12-31,NA,SABA
702498,tezepelumab,Drug,RxNorm,Ingredient,S,2587789,2022-01-03,2099-12-31,NA,injection
702500,tezepelumab-ekko 110 MG/ML,Drug,RxNorm,Clinical Drug Comp,S,2587791,2022-01-03,2099-12-31,NA,injection
702501,tezepelumab Injectable Product,Drug,RxNorm,Clinical Dose Group,C,2587792,2022-01-03,2099-12-31,NA,injection
702502,tezepelumab Injection,Drug,RxNorm,Clinical Drug Form,S,2587793,2022-01-03,2099-12-31,NA,injection
702503,tezepelumab-ekko 110 MG/ML Injection,Drug,RxNorm,Clinical Drug,S,2587795,2022-01-03,2099-12-31,NA,injection
702505,tezepelumab-ekko 110 MG/ML [Tezspire],Drug,RxNorm,Branded Drug Comp,S,2587797,2022-01-03,2099-12-31,NA,injection
702506,Tezspire Injectable Product,Drug,RxNorm,Branded Dose Group,C,2587798,2022-01-03,2099-12-31,NA,injection
702507,tezepelumab Injection [Tezspire],Drug,RxNorm,Branded Drug Form,S,2587799,2022-01-03,2099-12-31,NA,injection
702508,tezepelumab-ekko 110 MG/ML Injection [Tezspire],Drug,RxNorm,Branded Drug,S,2587801,2022-01-03,2099-12-31,NA,injection
702509,tezepelumab Prefilled Syringe,Drug,RxNorm,Clinical Drug Form,S,2587802,2022-01-03,2099-12-31,NA,injection
702510,tezepelumab-ekko 110 MG/ML Prefilled Syringe,Drug,RxNorm,Clinical Drug,S,2587804,2022-01-03,2099-12-31,NA,injection
702511,tezepelumab Prefilled Syringe [Tezspire],Drug,RxNorm,Branded Drug Form,S,2587805,2022-01-03,2099-12-31,NA,injection
702512,tezepelumab-ekko 110 MG/ML Prefilled Syringe [Tezspire],Drug,RxNorm,Branded Drug,S,2587807,2022-01-03,2099-12-31,NA,injection
702655,1.91 ML tezepelumab-ekko 110 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,2587794,2022-01-03,2099-12-31,NA,injection
702656,1.91 ML tezepelumab-ekko 110 MG/ML Injection [Tezspire],Drug,RxNorm,Quant Branded Drug,S,2587800,2022-01-03,2099-12-31,NA,injection
702657,1.91 ML tezepelumab-ekko 110 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,2587803,2022-01-03,2099-12-31,NA,injection
702658,1.91 ML tezepelumab-ekko 110 MG/ML Prefilled Syringe [Tezspire],Drug,RxNorm,Quant Branded Drug,S,2587806,2022-01-03,2099-12-31,NA,injection
779320,budesonide / formoterol Metered Dose Inhaler [Breyna],Drug,RxNorm,Branded Drug Form,S,2597669,2022-08-01,2099-12-31,NA,combo
779321,budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Breyna],Drug,RxNorm,Branded Drug,S,2597671,2022-08-01,2099-12-31,NA,combo
779323,budesonide 0.08 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Breyna],Drug,RxNorm,Branded Drug,S,2597674,2022-08-01,2099-12-31,NA,combo
780227,0.4 ML mepolizumab 100 MG/ML Prefilled Syringe,Drug,RxNorm,Quant Clinical Drug,S,2596444,2022-08-01,2099-12-31,NA,injection
780228,0.4 ML mepolizumab 100 MG/ML Prefilled Syringe [Nucala],Drug,RxNorm,Quant Branded Drug,S,2596445,2022-08-01,2099-12-31,NA,injection
780239,120 ACTUAT budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Breyna],Drug,RxNorm,Quant Branded Drug,S,2597670,2022-08-01,2099-12-31,NA,combo
780240,120 ACTUAT budesonide 0.08 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Breyna],Drug,RxNorm,Quant Branded Drug,S,2597673,2022-08-01,2099-12-31,NA,combo
782913,montelukast 10 MG Oral Tablet [Singulair] Box of 28 by PI-Pharma,Drug,RxNorm Extension,Marketed Product,S,OMOP4830743,2019-04-01,2099-12-31,NA,LTRA
782914,montelukast 10 MG Oral Tablet [Singulair] Box of 98 by PI-Pharma,Drug,RxNorm Extension,Marketed Product,S,OMOP4830744,2019-04-01,2099-12-31,NA,LTRA
782915,montelukast 10 MG Oral Tablet [MONTELUKAST KRKA] Box of 56,Drug,RxNorm Extension,Branded Drug Box,S,OMOP4830745,2019-04-01,2099-12-31,NA,LTRA
782916,montelukast 10 MG Oral Tablet [MONTELUKAST KRKA] Box of 56 by KRKA,Drug,RxNorm Extension,Marketed Product,S,OMOP4830746,2019-04-01,2099-12-31,NA,LTRA
782917,montelukast 10 MG Oral Tablet [MONTELUKAST SANDOZ] Box of 98 by Impexeco,Drug,RxNorm Extension,Marketed Product,S,OMOP4830747,2019-04-01,2099-12-31,NA,LTRA
782918,montelukast 10 MG Oral Tablet [MONTELUKAST TEVA] Box of 28 by Impexeco,Drug,RxNorm Extension,Marketed Product,S,OMOP4830748,2019-04-01,2099-12-31,NA,LTRA
