concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
35207972,Allergic rhinitis due to pollen,Condition,ICD10CM,4-char billing code,NA,J30.1,2007-01-01,2099-12-31,NA
35207973,Other seasonal allergic rhinitis,Condition,ICD10CM,4-char billing code,NA,J30.2,2007-01-01,2099-12-31,NA
45552885,Allergic rhinitis due to food,Condition,ICD10CM,4-char billing code,NA,J30.5,2014-07-01,2099-12-31,NA
1569473,Other allergic rhinitis,Condition,ICD10CM,4-char nonbill code,NA,J30.8,2012-01-01,2099-12-31,NA
45601125,Allergic rhinitis due to animal (cat) (dog) hair and dander,Condition,ICD10CM,5-char billing code,NA,J30.81,1970-01-01,2099-12-31,NA
45581853,Other allergic rhinitis,Condition,ICD10CM,5-char billing code,NA,J30.89,1970-01-01,2099-12-31,NA
45591555,"Allergic rhinitis, unspecified",Condition,ICD10CM,4-char billing code,NA,J30.9,1970-01-01,2099-12-31,NA
45757081,Allergic rhinitis caused by feathers,Condition,SNOMED,Clinical Finding,S,10629391000119103,2015-01-31,2099-12-31,NA
46269743,Allergic rhinitis caused by insects,Condition,SNOMED,Clinical Finding,S,10629431000119108,2015-07-31,2099-12-31,NA
45757082,Allergic rhinitis caused by mold,Condition,SNOMED,Clinical Finding,S,10629471000119106,2015-01-31,2099-12-31,NA
46269767,Acute severe exacerbation of asthma co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,10674711000119105,2015-07-31,2099-12-31,NA
46269771,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,10675551000119104,2015-07-31,2099-12-31,NA
46269773,Severe persistent asthma controlled co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,10675631000119109,2015-07-31,2099-12-31,NA
46269775,Severe persistent asthma uncontrolled co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,10675711000119106,2015-07-31,2099-12-31,NA
46269777,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,10675991000119100,2015-07-31,2099-12-31,NA
46269779,Mild persistent asthma controlled co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,10676111000119102,2015-07-31,2099-12-31,NA
