concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
4232595,Platinum asthma,Condition,SNOMED,Clinical Finding,S,404804003,1/31/04,12/31/99,NA
1569489,Other and unspecified asthma,Condition,ICD10CM,4-char nonbill code,NA,J45.9,1/1/12,12/31/99,NA
46269776,Mild persistent allergic asthma,Condition,SNOMED,Clinical Finding,S,10675871000119106,7/31/15,12/31/99,NA
257583,Allergic bronchopulmonary aspergillosis,Condition,SNOMED,Clinical Finding,S,37981002,1/31/02,12/31/99,NA
1569488,Asthma,Condition,ICD10CM,3-char nonbill code,NA,J45,1/1/12,12/31/99,NA
46269802,Chronic obstructive asthma co-occurrent with acute exacerbation of asthma,Condition,SNOMED,Clinical Finding,S,10692721000119102,7/31/15,12/31/99,NA
4119298,Late onset asthma,Condition,SNOMED,Clinical Finding,S,233679003,1/31/02,12/31/99,NA
4244339,Drug-induced asthma,Observation,SNOMED,Clinical Finding,S,93432008,1/31/02,12/31/99,NA
46270082,Acute exacerbation of mild persistent asthma,Condition,SNOMED,Clinical Finding,NA,1.35181E+14,7/31/15,7/31/21,U
45562456,"Asthma, unspecified",Condition,ICD10,ICD10 code,NA,J45.9,5/1/90,12/31/99,NA
45768908,Exercise induced bronchospasm,Condition,SNOMED,Clinical Finding,S,707440005,1/31/15,12/31/99,NA
36684335,Exacerbation of allergic asthma due to infection,Condition,SNOMED,Clinical Finding,S,782520007,1/31/19,12/31/99,NA
45766728,Allergic asthma due to Dermatophagoides farinae,Condition,SNOMED,Clinical Finding,S,703954005,1/31/15,12/31/99,NA
37108581,Severe uncontrolled persistent asthma,Condition,SNOMED,Clinical Finding,S,10675751000119107,7/31/17,12/31/99,NA
46269777,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,10675991000119100,7/31/15,12/31/99,NA
4225553,Cheese-makers' asthma,Condition,SNOMED,Clinical Finding,S,404806001,1/31/04,12/31/99,NA
46270322,Intermittent asthma uncontrolled,Condition,SNOMED,Clinical Finding,S,1.741E+12,7/31/15,12/31/99,NA
45768965,Uncomplicated severe persistent asthma,Condition,SNOMED,Clinical Finding,S,707513007,1/31/15,12/31/99,NA
46274062,Asthma-chronic obstructive pulmonary disease overlap syndrome,Condition,SNOMED,Clinical Finding,S,10692761000119107,7/31/15,12/31/99,NA
45768912,Exacerbation of severe persistent asthma,Condition,SNOMED,Clinical Finding,S,707447008,1/31/15,12/31/99,NA
45769438,Acute severe exacerbation of asthma,Condition,SNOMED,Clinical Finding,S,708090002,1/31/15,12/31/99,NA
46269771,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,10675551000119104,7/31/15,12/31/99,NA
46273454,Moderate persistent asthma co-occurrent with allergic rhinitis,Condition,SNOMED,Clinical Finding,S,1.25001E+14,7/31/15,12/31/99,NA
4217558,Detergent asthma,Condition,SNOMED,Clinical Finding,S,41553006,1/31/02,12/31/99,NA
4245292,Weavers' cough,Condition,SNOMED,Clinical Finding,S,59786004,1/31/02,12/31/99,NA
4050731,Byssinosis grade 3,Condition,SNOMED,Clinical Finding,S,233672007,1/31/02,12/31/99,NA
42536208,Moderate acute exacerbation of asthma,Condition,SNOMED,Clinical Finding,S,734905008,1/31/18,12/31/99,NA
46274059,Acute severe exacerbation of severe persistent allergic asthma,Condition,SNOMED,Clinical Finding,S,10675471000119109,7/31/15,12/31/99,NA
4143828,Mild persistent asthma,Condition,SNOMED,Clinical Finding,S,426979002,7/31/07,12/31/99,NA
4206340,Asthma without status asthmaticus,Condition,SNOMED,Clinical Finding,S,55570000,1/31/02,12/31/99,NA
317009,Asthma,Condition,SNOMED,Clinical Finding,S,195967001,1/31/02,12/31/99,NA
